person_id,date,start,end,note
p01,2026-11-02,11:00,22:00,
p01,2026-11-03,11:00,22:00,
p01,2026-11-04,11:00,22:00,
p01,2026-11-05,11:00,22:00,
p01,2026-11-06,11:00,22:00,
p01,2026-11-07,11:00,22:00,
p01,2026-11-08,11:00,22:00,
p01,2026-11-09,11:00,22:00,
p01,2026-11-10,11:00,22:00,
p01,2026-11-11,11:00,22:00,
p02,2026-11-02,11:00,22:00,
p02,2026-11-03,11:00,22:00,
p02,2026-11-04,11:00,22:00,
p02,2026-11-05,11:00,22:00,
p02,2026-11-06,11:00,22:00,
p02,2026-11-07,11:00,22:00,
p02,2026-11-08,11:00,22:00,
p02,2026-11-09,11:00,22:00,
p02,2026-11-10,11:00,22:00,
p02,2026-11-11,11:00,22:00,
p03,2026-11-02,11:00,22:00,
p03,2026-11-03,11:00,22:00,
p03,2026-11-04,11:00,22:00,
p03,2026-11-05,11:00,22:00,
p03,2026-11-06,11:00,22:00,
p03,2026-11-07,11:00,22:00,
p03,2026-11-08,11:00,22:00,
p03,2026-11-09,11:00,22:00,
p03,2026-11-10,11:00,22:00,11/9〜11/11が試験期間なので極力入れないでください
p03,2026-11-11,11:00,22:00,
p04,2026-11-02,16:00,22:00,
p04,2026-11-03,16:00,22:00,
p04,2026-11-04,16:00,22:00,
p04,2026-11-05,16:00,22:00,
p04,2026-11-06,16:00,22:00,
p04,2026-11-07,16:00,22:00,
p04,2026-11-08,16:00,22:00,
p04,2026-11-09,16:00,22:00,
p04,2026-11-10,16:00,22:00,
p04,2026-11-11,16:00,22:00,
p05,2026-11-02,11:00,22:00,
p05,2026-11-03,11:00,22:00,
p05,2026-11-05,11:00,22:00,
p05,2026-11-06,11:00,22:00,お迎えがあるので17時までにしてほしいです
p05,2026-11-07,11:00,22:00,
p05,2026-11-08,11:00,22:00,
p05,2026-11-09,11:00,22:00,
p05,2026-11-10,11:00,22:00,
p06,2026-11-02,11:00,22:00,
p06,2026-11-03,11:00,22:00,
p06,2026-11-05,11:00,22:00,通院のため午前は入れません。16時から入ります
p06,2026-11-06,11:00,22:00,
p06,2026-11-07,11:00,22:00,
p06,2026-11-08,11:00,22:00,
p06,2026-11-09,11:00,22:00,
p06,2026-11-10,11:00,22:00,
p07,2026-11-02,16:00,22:00,
p07,2026-11-03,16:00,22:00,22時以降のシフトは月3回までにしてほしいです
p07,2026-11-04,16:00,22:00,
p07,2026-11-05,16:00,22:00,
p07,2026-11-06,16:00,22:00,
p07,2026-11-07,16:00,22:00,
p07,2026-11-08,16:00,22:00,
p07,2026-11-09,16:00,22:00,
p07,2026-11-10,16:00,22:00,
p07,2026-11-11,16:00,22:00,
p08,2026-11-02,11:00,22:00,
p08,2026-11-03,11:00,22:00,
p08,2026-11-04,11:00,22:00,
p08,2026-11-05,11:00,22:00,
p08,2026-11-06,11:00,22:00,
p08,2026-11-07,11:00,22:00,
p08,2026-11-08,11:00,22:00,
p08,2026-11-09,11:00,22:00,
p08,2026-11-10,11:00,22:00,
p08,2026-11-11,11:00,22:00,
p09,2026-11-02,11:00,22:00,
p09,2026-11-03,11:00,22:00,
p09,2026-11-05,11:00,22:00,
p09,2026-11-06,11:00,22:00,
p09,2026-11-07,11:00,22:00,
p09,2026-11-08,11:00,22:00,
p09,2026-11-09,11:00,22:00,
p09,2026-11-10,11:00,22:00,
p10,2026-11-02,16:00,22:00,
p10,2026-11-03,16:00,22:00,
p10,2026-11-04,16:00,22:00,
p10,2026-11-05,16:00,22:00,
p10,2026-11-06,16:00,22:00,
p10,2026-11-07,16:00,22:00,この日はできれば遅番希望です
p10,2026-11-08,16:00,22:00,
p10,2026-11-09,16:00,22:00,
p10,2026-11-10,16:00,22:00,
p10,2026-11-11,16:00,22:00,
